0,0
0.0015,0.0159999
0.003,0.031999
0.0045,0.0479965
0.006,0.0639917
0.0075,0.0799839
0.009,0.0959722
0.0105,0.111956
0.012,0.127934
0.0135,0.143907
0.015,0.159872
0.0165,0.17583
0.018,0.191779
0.0195,0.20772
0.021,0.223651
0.0225,0.239571
0.024,0.25548
0.0255,0.271377
0.027,0.287261
0.0285,0.303132
0.03,0.318989
0.0315,0.334831
0.033,0.350658
0.0345,0.366468
0.036,0.382262
0.0375,0.398038
0.039,0.413796
0.0405,0.429535
0.042,0.445255
0.0435,0.460954
0.045,0.476632
0.0465,0.492289
0.048,0.507923
0.0495,0.523535
0.051,0.539123
0.0525,0.554687
0.054,0.570225
0.0555,0.585739
0.057,0.601226
0.0585,0.616687
0.06,0.63212
0.0615,0.647526
0.063,0.662902
0.0645,0.67825
0.066,0.693567
0.0675,0.708855
0.069,0.724111
0.0705,0.739335
0.072,0.754527
0.0735,0.769687
0.075,0.784812
0.0765,0.799904
0.078,0.814962
0.0795,0.829984
0.081,0.84497
0.0825,0.85992
0.084,0.874833
0.0855,0.889709
0.087,0.904547
0.0885,0.919346
0.09,0.934106
0.0915,0.948826
0.093,0.963506
0.0945,0.978146
0.096,0.992744
0.0975,1.0073
0.099,1.02181
0.1005,1.03629
0.102,1.05071
0.1035,1.0651
0.105,1.07944
0.1065,1.09373
0.108,1.10798
0.1095,1.12218
0.111,1.13634
0.1125,1.15045
0.114,1.16451
0.1155,1.17853
0.117,1.19249
0.1185,1.20641
0.12,1.22028
0.1215,1.2341
0.123,1.24787
0.1245,1.26158
0.126,1.27525
0.1275,1.28887
0.129,1.30243
0.1305,1.31594
0.132,1.3294
0.1335,1.3428
0.135,1.35615
0.1365,1.36945
0.138,1.38269
0.1395,1.39587
0.141,1.409
0.1425,1.42208
0.144,1.4351
0.1455,1.44806
0.147,1.46096
0.1485,1.47381
0.15,1.4866
0.1515,1.49933
0.153,1.512
0.1545,1.52462
0.156,1.53717
0.1575,1.54966
0.159,1.5621
0.1605,1.57447
